plot.id,site,year,time,protected.area,pop,dist,wood.ct,med.ct,lem.ct,wood.rich,med.rich,lem.rich
A01N01,A01,2016,0,Yes,0,8.294299609,2,18,2,2,4,2
A01N02,A01,2016,0,Yes,0,8.77971129,8,6,7,5,3,4
A01N03,A01,2016,0,Yes,0,8.006700845,5,22,0,4,6,0
A01N04,A01,2016,0,Yes,0,7.313886832,6,5,2,5,3,2
A01N05,A01,2016,0,Yes,0,8.699681401,10,0,6,9,0,6
A01N06,A01,2016,0,Yes,0,9.25922577,13,6,5,11,4,5
A01N07,A01,2016,0,Yes,0,9.43356392,10,10,3,9,5,3
A01N08,A01,2016,0,Yes,0,9.546884035,6,7,5,6,4,5
A01N09,A01,2016,0,Yes,0,9.648659817,9,9,6,7,5,4
A01N10,A01,2016,0,Yes,0,9.770013301,11,11,5,9,5,5
A01N11,A01,2016,0,Yes,0,9.711176264,9,20,4,7,6,4
A01N12,A01,2016,0,Yes,0,9.615872145,5,1,4,4,1,3
A01N13,A01,2016,0,Yes,0,9.305741457,2,7,2,2,5,2
A02S01,A02,2016,0,Yes,0,8.612685173,20,4,12,16,3,11
A02S02,A02,2016,0,Yes,0,8.699681401,18,22,11,14,7,10
A02S03,A02,2016,0,Yes,0,8.612685173,11,8,9,8,3,7
A02S04,A02,2016,0,Yes,0,8.412054873,20,9,12,15,7,8
A02S05,A02,2016,0,Yes,0,8.922791624,12,13,7,11,7,6
A02S06,A02,2016,0,Yes,0,9.105090961,18,8,10,15,6,8
A02S07,A02,2016,0,Yes,0,9.305741457,23,7,14,17,4,10
A02S08,A02,2016,0,Yes,0,9.392745259,18,17,11,15,9,9
A02S09,A02,2016,0,Yes,0,9.711176264,25,3,13,20,2,9
A02S10,A02,2016,0,Yes,0,9.798182591,26,15,21,18,8,15
A02S11,A02,2016,0,Yes,0,9.680406499,9,13,7,9,7,7
A02S12,A02,2016,0,Yes,0,9.546884035,6,1,5,5,1,4
T01A01,T01,2015,0,No,5.081404365,6.216606101,2,27,1,2,5,1
T01A02,T01,2015,0,No,5.081404365,6.908754779,14,14,11,8,5,6
T01A03,T01,2015,0,No,5.081404365,7.313886832,21,9,10,13,3,8
T01A04,T01,2015,0,No,5.081404365,7.601402335,12,6,6,12,4,6
T01A05,T01,2015,0,No,5.081404365,7.824445931,17,13,7,12,5,6
T01B01,T01,2015,0,No,5.081404365,6.216606101,15,15,10,14,6,10
T01B02,T01,2015,0,No,5.081404365,6.908754779,9,35,4,8,5,4
T01B03,T01,2015,0,No,5.081404365,7.313886832,19,36,6,9,4,5
T01B04,T01,2015,0,No,5.081404365,7.601402335,24,19,12,12,5,6
T01B05,T01,2015,0,No,5.081404365,7.824445931,20,9,6,11,6,5
T02A01,T02,2015,0,No,5.707110265,6.216606101,5,1,2,4,1,2
T02A02,T02,2015,0,No,5.707110265,6.908754779,0,16,0,0,4,0
T02A03,T02,2015,0,No,5.707110265,7.313886832,15,12,8,11,7,6
T02A04,T02,2015,0,No,5.707110265,7.601402335,17,12,5,13,4,5
T02A05,T02,2015,0,No,5.707110265,7.824445931,22,7,13,12,2,9
T02B01,T02,2015,0,No,5.707110265,6.216606101,10,12,4,8,4,4
T02B02,T02,2015,0,No,5.707110265,6.908754779,22,5,12,16,3,9
T02B03,T02,2015,0,No,5.707110265,7.313886832,10,9,8,8,5,6
T02B04,T02,2015,0,No,5.707110265,7.601402335,18,11,4,12,3,4
T02B05,T02,2015,0,No,5.707110265,7.824445931,24,18,18,15,5,10
T03A01,T03,2015,0,No,7.601402335,6.216606101,0,5,3,0,4,1
T03A02,T03,2015,0,No,7.601402335,6.908754779,11,10,3,4,2,2
T03A03,T03,2015,0,No,7.601402335,7.313886832,0,24,0,0,4,0
T03A04,T03,2015,0,No,7.601402335,7.601402335,0,0,0,0,0,0
T03A05,T03,2015,0,No,7.601402335,7.824445931,0,0,0,0,0,0
T03B01,T03,2015,0,No,7.601402335,6.216606101,7,7,1,4,3,1
T03B02,T03,2015,0,No,7.601402335,6.908754779,0,3,0,0,3,0
T03B03,T03,2015,0,No,7.601402335,7.313886832,0,0,0,0,0,0
T03B04,T03,2015,0,No,7.601402335,7.601402335,1,6,1,1,2,1
T03B05,T03,2015,0,No,7.601402335,7.824445931,1,24,1,1,3,1
T04A01,T04,2015,0,No,8.294299609,6.216606101,4,3,0,3,2,0
T04A02,T04,2015,0,No,8.294299609,6.908754779,3,10,1,2,2,1
T04A03,T04,2015,0,No,8.294299609,7.313886832,11,7,5,10,3,5
T04A04,T04,2015,0,No,8.294299609,7.601402335,3,9,1,3,5,1
T04A05,T04,2015,0,No,8.294299609,7.824445931,0,7,0,0,3,0
